,DATE,UNRTUKA
0,1950,1.82
1,1951,1.57
2,1952,2.36
3,1953,2.03
4,1954,1.77
5,1955,1.55
6,1956,1.64
7,1957,1.89
8,1958,2.53
9,1959,2.64
10,1960,2.14
11,1961,2.07
12,1962,2.6
13,1963,3.1
14,1964,2.4
15,1965,2.26
16,1966,2.47
17,1967,3.37
18,1968,3.49
19,1969,3.5
20,1970,3.75
21,1971,4.14
22,1972,4.34
23,1973,3.65
24,1974,3.65
25,1975,4.5
26,1976,5.4
27,1977,5.59
28,1978,5.51
29,1979,5.38
30,1980,6.81
31,1981,9.65
32,1982,10.72
33,1983,11.47
34,1984,11.77
35,1985,11.36
36,1986,11.32
37,1987,10.43
38,1988,8.57
39,1989,7.22
40,1990,7.1
41,1991,8.82
42,1992,9.95
43,1993,10.37
44,1994,9.5
45,1995,8.62
46,1996,8.1
47,1997,6.97
48,1998,6.26
49,1999,5.98
50,2000,5.46
51,2001,5.1
52,2002,5.19
53,2003,5.01
54,2004,4.75
55,2005,4.83
56,2006,5.42
57,2007,5.33
58,2008,5.69
59,2009,7.61
60,2010,7.87
61,2011,8.11
62,2012,7.97
63,2013,7.61
64,2014,6.18
65,2015,5.38
66,2016,4.9
